,Unnamed: 0,FUND,CNT,SRC_UID,EOM
15564,15564,Sarkidornis melanotos,1194,108219608754,2019-10-31
15565,15565,Lutra canadensis,739,168720101925,2019-10-31
15566,15566,Centrocercus urophasianus,977,324918516,2019-10-31
15567,15567,Choriotis kori,1009,27160283895,2019-10-31
15569,15569,Rhea americana,1675,189669225079108,2019-10-31
15570,15570,Hystrix cristata,1379,192291882972375,2019-10-31
15571,15571,Podargus strigoides,1059,206670764,2019-10-31
15572,15572,Plegadis falcinellus,4606,181703187068,2019-10-31
15573,15573,Ardea cinerea,1522,206670715,2019-10-31
15574,15574,Isoodon obesulus,1614,189669356346606,2019-10-31
15575,15575,Eolophus roseicapillus,1176,55902523917,2019-10-31
15578,15578,Actophilornis africanus,159,272675524722,2019-10-31
15579,15579,Orcinus orca,146,108202450315,2019-10-31
15580,15580,Macaca mulatta,373,108207596093,2019-10-31
15581,15581,Varanus sp.,3,264126748256,2019-10-31
15583,15583,Isoodon obesulus,935,189669356346606,2019-10-31
15584,15584,Canis aureus,975,206670716,2019-10-31
15585,15585,Milvus migrans,794,275505523,2019-10-31
15589,15589,Dendrocitta vagabunda,17,206670760,2019-10-31
15593,15593,Falco peregrinus,3,181989439245,2019-10-31
15594,15594,Tamandua tetradactyla,644,301519260,2019-10-31
15595,15595,Charadrius tricollaris,663,189669305873243,2019-10-31
15596,15596,Haematopus ater,1921,38679964783,2019-10-31
15597,15597,Dasyurus viverrinus,1,206670754,2019-10-31
15598,15598,unavailable,8,206670773,2019-10-31
15600,15600,Ourebia ourebi,3081,206670693,2019-10-31
15601,15601,Spilogale gracilis,2151,186759829869822,2019-10-31
15602,15602,Ephippiorhynchus mycteria,566,52079200642,2019-10-31
15606,15606,Bassariscus astutus,3283,1134069654772,2019-10-31
15607,15607,Melursus ursinus,921,186761292782742,2019-10-31
15609,15609,Butorides striatus,1268,28283084613,2019-10-31
15610,15610,Actophilornis africanus,2633,272675524722,2019-10-31
15611,15611,Oreamnos americanus,728,188703116701652,2019-10-31
15612,15612,Lorythaixoides concolor,1541,206670771,2019-10-31
15613,15613,Amphibolurus barbatus,1256,1489764652,2019-10-31
15615,15615,Himantopus himantopus,2699,206670686,2019-10-31
15616,15616,Cabassous sp.,1883,206670692,2019-10-31
15617,15617,Macaca fuscata,1380,188803777670426,2019-10-31
15618,15618,Laniaurius atrococcineus,457,40234253942,2019-10-31
15619,15619,Alouatta seniculus,479,40234001221,2019-10-31
15620,15620,Isoodon obesulus,72,189669356346606,2019-10-31
15623,15623,Himantopus himantopus,5,206670686,2019-10-31
15624,15624,Chloephaga melanoptera,2573,573917296406,2019-10-31
15625,15625,Trachyphonus vaillantii,430,898428021820,2019-10-31
15627,15627,Laniaurius atrococcineus,313,40234253942,2019-10-31
15628,15628,Hystrix indica,203,189395860675734,2019-10-31
15630,15630,Vanellus sp.,954,194309785360951,2019-10-31
15633,15633,Lycosa godeffroyi,1304,880886802006,2019-10-31
15634,15634,Dasyurus viverrinus,174,206670754,2019-10-31
15636,15636,Columba palumbus,1004,1489765858,2019-10-31
15637,15637,Deroptyus accipitrinus,1370,1676124906944,2019-10-31
15638,15638,Dendrocitta vagabunda,249,206670760,2019-10-31
15639,15639,Anthropoides paradisea,378,880923451687,2019-10-31
15642,15642,Phascogale calura,197,206670732,2019-10-31
15643,15643,Canis mesomelas,2447,105401395916,2019-10-31
15645,15645,Upupa epops,2217,203221423898215,2019-10-31
15646,15646,Spermophilus lateralis,695,188703129863464,2019-10-31
15647,15647,Tyto novaehollandiae,1271,638750702637,2019-10-31
15648,15648,Geococcyx californianus,2869,207934051132,2019-10-31
15649,15649,Choloepus hoffmani,754,186267307833917,2019-10-31
15650,15650,Suricata suricatta,1058,880880278933,2019-10-31
15651,15651,Macaca fuscata,1483,188803777670426,2019-10-31
15652,15652,Bugeranus caruncalatus,1625,206670690,2019-10-31
15653,15653,Phaethon aethereus,455,455157311,2019-10-31
15654,15654,Papio ursinus,1043,409790534092,2019-10-31
15655,15655,Halcyon smyrnesis,2224,200109499869465,2019-10-31
15656,15656,Lepus townsendii,23,188703120510450,2019-10-31
15657,15657,Dasyurus viverrinus,44,206670754,2019-10-31
15658,15658,Pycnonotus barbatus,828,52096762037,2019-10-31
15659,15659,Gerbillus sp.,2605,186711785308213,2019-10-31
15660,15660,Bucephala clangula,324,737766433094,2019-10-31
15661,15661,Anthropoides paradisea,902,880923451687,2019-10-31
15662,15662,Varanus komodensis,731,880930580959,2019-10-31
15666,15666,Panthera pardus,401,656756747842,2019-10-31
15667,15667,Cordylus giganteus,562,108203096943,2019-10-31
15669,15669,Ursus arctos,457,189654246454691,2019-10-31
15670,15670,Axis axis,403,206670739,2019-10-31
15671,15671,Physignathus cocincinus,466,206670711,2019-10-31
15674,15674,Lamprotornis nitens,1646,656760542396,2019-10-31
15675,15675,Podargus strigoides,32,206670764,2019-10-31
15676,15676,Podargus strigoides,375,206670764,2019-10-31
15677,15677,Echimys chrysurus,1027,537115818972,2019-10-31
15678,15678,Cereopsis novaehollandiae,1345,206670721,2019-10-31
15679,15679,Pelecanus occidentalis,583,206670734,2019-10-31
15680,15680,Mustela nigripes,380,1451747082532,2019-10-31
15683,15683,Ovis canadensis,3026,206670723,2019-10-31
15684,15684,Charadrius tricollaris,186,189669305873243,2019-10-31
15685,15685,Eumetopias jubatus,273,1540205459539,2019-10-31
15689,15689,Charadrius tricollaris,1070,189669305873243,2019-11-30
15690,15690,Boa constrictor mexicana,231,198188413318323,2019-11-30
15691,15691,Laniaurius atrococcineus,51,40234253942,2019-11-30
15692,15692,Phaethon aethereus,65,455157311,2019-11-30
15694,15694,Psophia viridis,1230,206670770,2019-11-30
15695,15695,Alcelaphus buselaphus cokii,1836,181701414249,2019-11-30
15697,15697,Megaderma spasma,2229,206670742,2019-11-30
15699,15699,Crotaphytus collaris,685,323418458,2019-11-30
15700,15700,Nucifraga columbiana,756,40232932742,2019-11-30
15701,15701,Rangifer tarandus,417,36740368922,2019-11-30
15703,15703,Lepus townsendii,569,188703120510450,2019-11-30
15705,15705,Actophilornis africanus,1729,272675524722,2019-11-30
15706,15706,Petaurus breviceps,368,186494805556422,2019-11-30
15707,15707,Terathopius ecaudatus,128,210435370127300,2019-11-30
15708,15708,Felis wiedi or Leopardus weidi,2313,206670694,2019-11-30
15709,15709,Dicrostonyx groenlandicus,197,197463014939188,2019-11-30
15710,15710,Halcyon smyrnesis,14,200109499869465,2019-11-30
15711,15711,Choloepus hoffmani,393,186267307833917,2019-11-30
15712,15712,Sarkidornis melanotos,888,108219608754,2019-11-30
15713,15713,Lutra canadensis,586,168720101925,2019-11-30
15714,15714,Centrocercus urophasianus,580,324918516,2019-11-30
15715,15715,Choriotis kori,795,27160283895,2019-11-30
15717,15717,Rhea americana,1454,189669225079108,2019-11-30
15718,15718,Hystrix cristata,932,192291882972375,2019-11-30
15719,15719,Podargus strigoides,776,206670764,2019-11-30
15720,15720,Plegadis falcinellus,3362,181703187068,2019-11-30
15721,15721,Ardea cinerea,1223,206670715,2019-11-30
15722,15722,Isoodon obesulus,1081,189669356346606,2019-11-30
15723,15723,Eolophus roseicapillus,733,55902523917,2019-11-30
15726,15726,Actophilornis africanus,120,272675524722,2019-11-30
15727,15727,Orcinus orca,104,108202450315,2019-11-30
15728,15728,Macaca mulatta,289,108207596093,2019-11-30
15729,15729,Varanus sp.,1,264126748256,2019-11-30
15730,15730,Isoodon obesulus,653,189669356346606,2019-11-30
15731,15731,Canis aureus,729,206670716,2019-11-30
15732,15732,Milvus migrans,597,275505523,2019-11-30
15736,15736,Dendrocitta vagabunda,19,206670760,2019-11-30
15740,15740,Tamandua tetradactyla,448,301519260,2019-11-30
15741,15741,Charadrius tricollaris,362,189669305873243,2019-11-30
15742,15742,Haematopus ater,1517,38679964783,2019-11-30
15743,15743,unavailable,1,206670773,2019-11-30
15745,15745,Ourebia ourebi,2244,206670693,2019-11-30
15746,15746,Spilogale gracilis,1629,186759829869822,2019-11-30
15747,15747,Ephippiorhynchus mycteria,434,52079200642,2019-11-30
15751,15751,Bassariscus astutus,2635,1134069654772,2019-11-30
15752,15752,Melursus ursinus,679,186761292782742,2019-11-30
15754,15754,Butorides striatus,1001,28283084613,2019-11-30
15755,15755,Actophilornis africanus,2091,272675524722,2019-11-30
15756,15756,Oreamnos americanus,536,188703116701652,2019-11-30
15757,15757,Lorythaixoides concolor,1226,206670771,2019-11-30
15758,15758,Amphibolurus barbatus,852,1489764652,2019-11-30
15760,15760,Himantopus himantopus,2124,206670686,2019-11-30
15761,15761,Cabassous sp.,1461,206670692,2019-11-30
15762,15762,Alligator mississippiensis,6,206670813,2019-11-30
15763,15763,Macaca fuscata,637,188803777670426,2019-11-30
15764,15764,Laniaurius atrococcineus,353,40234253942,2019-11-30
15765,15765,Alouatta seniculus,366,40234001221,2019-11-30
15766,15766,Isoodon obesulus,36,189669356346606,2019-11-30
15768,15768,Chloephaga melanoptera,1767,573917296406,2019-11-30
15769,15769,Trachyphonus vaillantii,235,898428021820,2019-11-30
15771,15771,Laniaurius atrococcineus,151,40234253942,2019-11-30
15772,15772,Hystrix indica,105,189395860675734,2019-11-30
15774,15774,Vanellus sp.,698,194309785360951,2019-11-30
15777,15777,Lycosa godeffroyi,1054,880886802006,2019-11-30
15778,15778,Dasyurus viverrinus,110,206670754,2019-11-30
15780,15780,Columba palumbus,766,1489765858,2019-11-30
15781,15781,Deroptyus accipitrinus,1004,1676124906944,2019-11-30
15782,15782,Dendrocitta vagabunda,105,206670760,2019-11-30
15783,15783,Anthropoides paradisea,317,880923451687,2019-11-30
15786,15786,Phascogale calura,120,206670732,2019-11-30
15787,15787,Canis mesomelas,1864,105401395916,2019-11-30
15789,15789,Upupa epops,1809,203221423898215,2019-11-30
15790,15790,Spermophilus lateralis,496,188703129863464,2019-11-30
15791,15791,Tyto novaehollandiae,910,638750702637,2019-11-30
15792,15792,Geococcyx californianus,2101,207934051132,2019-11-30
15793,15793,Choloepus hoffmani,433,186267307833917,2019-11-30
15794,15794,Suricata suricatta,865,880880278933,2019-11-30
15795,15795,Macaca fuscata,1104,188803777670426,2019-11-30
15796,15796,Bugeranus caruncalatus,1212,206670690,2019-11-30
15797,15797,Phaethon aethereus,328,455157311,2019-11-30
15798,15798,Papio ursinus,771,409790534092,2019-11-30
15799,15799,Halcyon smyrnesis,1763,200109499869465,2019-11-30
15800,15800,Lepus townsendii,8,188703120510450,2019-11-30
15801,15801,Dasyurus viverrinus,147,206670754,2019-11-30
15802,15802,Pycnonotus barbatus,618,52096762037,2019-11-30
15803,15803,Gerbillus sp.,2107,186711785308213,2019-11-30
15804,15804,Bucephala clangula,244,737766433094,2019-11-30
15805,15805,Anthropoides paradisea,679,880923451687,2019-11-30
15806,15806,Varanus komodensis,581,880930580959,2019-11-30
15809,15809,Panthera pardus,301,656756747842,2019-11-30
15810,15810,Cordylus giganteus,408,108203096943,2019-11-30
15812,15812,Ursus arctos,340,189654246454691,2019-11-30
15813,15813,Axis axis,300,206670739,2019-11-30
15814,15814,Physignathus cocincinus,346,206670711,2019-11-30
15817,15817,Lamprotornis nitens,1258,656760542396,2019-11-30
15818,15818,Podargus strigoides,59,206670764,2019-11-30
15819,15819,Echimys chrysurus,794,537115818972,2019-11-30
15820,15820,Cereopsis novaehollandiae,994,206670721,2019-11-30
15821,15821,Pelecanus occidentalis,507,206670734,2019-11-30
15822,15822,Mustela nigripes,288,1451747082532,2019-11-30
15825,15825,Ovis canadensis,2263,206670723,2019-11-30
15826,15826,Charadrius tricollaris,112,189669305873243,2019-11-30
15827,15827,Eumetopias jubatus,206,1540205459539,2019-11-30
15831,15831,Charadrius tricollaris,1006,189669305873243,2019-12-31
15832,15832,Boa constrictor mexicana,226,198188413318323,2019-12-31
15833,15833,Laniaurius atrococcineus,23,40234253942,2019-12-31
15835,15835,Phaethon aethereus,93,455157311,2019-12-31
15837,15837,Psophia viridis,1282,206670770,2019-12-31
15838,15838,Alcelaphus buselaphus cokii,2122,181701414249,2019-12-31
15840,15840,Megaderma spasma,2521,206670742,2019-12-31
15842,15842,Crotaphytus collaris,841,323418458,2019-12-31
15843,15843,Nucifraga columbiana,1020,40232932742,2019-12-31
15844,15844,Rangifer tarandus,540,36740368922,2019-12-31
15846,15846,Lepus townsendii,615,188703120510450,2019-12-31
15848,15848,Actophilornis africanus,1881,272675524722,2019-12-31
15849,15849,Petaurus breviceps,425,186494805556422,2019-12-31
15850,15850,Terathopius ecaudatus,148,210435370127300,2019-12-31
15851,15851,Felis wiedi or Leopardus weidi,2382,206670694,2019-12-31
15852,15852,Dicrostonyx groenlandicus,148,197463014939188,2019-12-31
15853,15853,Halcyon smyrnesis,15,200109499869465,2019-12-31
15854,15854,Choloepus hoffmani,373,186267307833917,2019-12-31
15855,15855,Sarkidornis melanotos,937,108219608754,2019-12-31
15856,15856,Lutra canadensis,540,168720101925,2019-12-31
15857,15857,Centrocercus urophasianus,560,324918516,2019-12-31
15858,15858,Choriotis kori,851,27160283895,2019-12-31
15860,15860,Rhea americana,1452,189669225079108,2019-12-31
15861,15861,Hystrix cristata,1059,192291882972375,2019-12-31
15862,15862,Podargus strigoides,878,206670764,2019-12-31
15863,15863,Plegadis falcinellus,3776,181703187068,2019-12-31
15864,15864,Ardea cinerea,1267,206670715,2019-12-31
15865,15865,Isoodon obesulus,1264,189669356346606,2019-12-31
15866,15866,Eolophus roseicapillus,769,55902523917,2019-12-31
15869,15869,Actophilornis africanus,129,272675524722,2019-12-31
15870,15870,Orcinus orca,131,108202450315,2019-12-31
15871,15871,Macaca mulatta,357,108207596093,2019-12-31
15872,15872,Varanus sp.,1,264126748256,2019-12-31
15874,15874,Isoodon obesulus,790,189669356346606,2019-12-31
15875,15875,Canis aureus,791,206670716,2019-12-31
15876,15876,Milvus migrans,608,275505523,2019-12-31
15879,15879,Dendrocitta vagabunda,1,206670760,2019-12-31
15883,15883,Falco peregrinus,3,181989439245,2019-12-31
15884,15884,Tamandua tetradactyla,444,301519260,2019-12-31
15885,15885,Charadrius tricollaris,372,189669305873243,2019-12-31
15886,15886,Haematopus ater,1646,38679964783,2019-12-31
15887,15887,unavailable,14,206670773,2019-12-31
15889,15889,Ourebia ourebi,2357,206670693,2019-12-31
15890,15890,Spilogale gracilis,1659,186759829869822,2019-12-31
15891,15891,Ephippiorhynchus mycteria,589,52079200642,2019-12-31
15895,15895,Bassariscus astutus,2622,1134069654772,2019-12-31
15896,15896,Melursus ursinus,765,186761292782742,2019-12-31
15898,15898,Butorides striatus,1098,28283084613,2019-12-31
15899,15899,Actophilornis africanus,2257,272675524722,2019-12-31
15900,15900,Oreamnos americanus,579,188703116701652,2019-12-31
15901,15901,Lorythaixoides concolor,1320,206670771,2019-12-31
15902,15902,Amphibolurus barbatus,1017,1489764652,2019-12-31
15904,15904,Himantopus himantopus,2343,206670686,2019-12-31
15905,15905,Cabassous sp.,1587,206670692,2019-12-31
15906,15906,Macaca fuscata,776,188803777670426,2019-12-31
15907,15907,Laniaurius atrococcineus,445,40234253942,2019-12-31
15908,15908,Alouatta seniculus,493,40234001221,2019-12-31
15909,15909,Isoodon obesulus,22,189669356346606,2019-12-31
15911,15911,Chloephaga melanoptera,2130,573917296406,2019-12-31
15912,15912,Trachyphonus vaillantii,227,898428021820,2019-12-31
15914,15914,Laniaurius atrococcineus,155,40234253942,2019-12-31
15915,15915,Hystrix indica,105,189395860675734,2019-12-31
15917,15917,Vanellus sp.,625,194309785360951,2019-12-31
15920,15920,Lycosa godeffroyi,1009,880886802006,2019-12-31
15921,15921,Dasyurus viverrinus,45,206670754,2019-12-31
15923,15923,Columba palumbus,852,1489765858,2019-12-31
15924,15924,Deroptyus accipitrinus,1440,1676124906944,2019-12-31
15925,15925,Dendrocitta vagabunda,171,206670760,2019-12-31
15926,15926,Anthropoides paradisea,375,880923451687,2019-12-31
15929,15929,Phascogale calura,105,206670732,2019-12-31
15930,15930,Canis mesomelas,2075,105401395916,2019-12-31
15932,15932,Upupa epops,1668,203221423898215,2019-12-31
15933,15933,Spermophilus lateralis,562,188703129863464,2019-12-31
15934,15934,Tyto novaehollandiae,966,638750702637,2019-12-31
15935,15935,Geococcyx californianus,2148,207934051132,2019-12-31
15936,15936,Choloepus hoffmani,468,186267307833917,2019-12-31
15937,15937,Suricata suricatta,833,880880278933,2019-12-31
15938,15938,Macaca fuscata,1326,188803777670426,2019-12-31
15939,15939,Bugeranus caruncalatus,1504,206670690,2019-12-31
