,SRC_UID,EOM,WEIGHTED,COUNTRY,PSU,PSU_SCORE
1766,186761292782742,31.05.2012,0.261,FRANCE,Eurozone,4.0
1767,105401395916,31.01.2019,0.4515,U.S.A.,US,2.0
1768,369592842106,31.05.2012,0.564,U.S.A.,US,4.0
1769,203221423898215,31.01.2019,0.627,U.S.A.,US,2.0
1770,656760542396,31.01.2019,0.4611,U.S.A.,US,2.0
1771,206670764,31.05.2012,0.622,RUSSIA,World,4.0
1772,1461078666,31.05.2012,0.271,UNITED KINGDOM,UK,3.0
1773,269287883541,31.08.2019,0.9984,JAPAN,Japan,1.0
1774,438677131,30.09.2011,0.455,U.S.A.,US,4.0
1775,105401395916,30.11.2011,0.28600000000000003,U.S.A.,US,3.0
1776,207934051132,30.09.2011,0.7,U.S.A.,US,4.0
1777,28283084613,30.09.2011,0.48,CHINA,China,3.0
1778,1489765858,30.09.2011,0.642,AUSTRALIA,Australia,2.0
1779,880886802006,31.10.2012,0.3937,U.S.A.,US,2.0
1780,108219608754,31.08.2012,0.228,FRANCE,Eurozone,2.0
1781,1540205570554,31.08.2012,0.267,FRANCE,Eurozone,2.0
1782,438677131,31.10.2012,0.5053,U.S.A.,US,2.0
1783,206670694,31.10.2012,0.6248,U.S.A.,US,2.0
1784,1134069654772,31.10.2012,0.5087,U.S.A.,US,2.0
1785,188703120510450,31.10.2012,0.9675,CHINA,China,1.0
1786,108219608754,30.04.2012,0.21100000000000002,FRANCE,Eurozone,4.0
1787,525288498953,31.05.2012,0.5429999999999999,BRAZIL,Latin America,1.0
1788,573917296406,31.05.2012,0.5429999999999999,BRAZIL,Latin America,1.0
1789,369592842106,30.06.2012,0.557,U.S.A.,US,4.0
1790,206670764,30.06.2012,0.612,RUSSIA,World,4.0
1791,1461078666,30.06.2012,0.267,UNITED KINGDOM,UK,3.0
1792,206670770,30.06.2012,0.28300000000000003,CHINA,China,3.0
1793,437983596250,31.01.2013,0.9397,SWITZERLAND,Switzerland,1.0
1794,207934051132,31.01.2013,0.637,U.S.A.,US,2.0
