,Unnamed: 0,MULTI_MANAGER_STRUCTURE,NAME,SOFTCLOSING,SRC_UID,RISK_LEVEL,DATE_SHARE,CNT_SHARE
29,29,0,Dicrostonyx groenlandicus,1.0,197463014939188,Moderate risk,01.05.2014,18
30,30,0,Halcyon smyrnesis,0.0,200109499869465,Moderate risk,09.12.2014,9
31,31,0,Panthera pardus,0.0,656756747842,Moderate / high risk,28.03.2008,5
32,32,0,Crotalus cerastes,0.0,181701369631,Low risk,30.06.2006,3
34,34,0,Choloepus hoffmani,0.0,186267307833917,Low / moderate risk,30.06.2010,11
37,37,0,Sarkidornis melanotos,0.0,108219608754,Moderate risk,23.06.2005,3
39,39,0,Eumetopias jubatus,0.0,1540205459539,Moderate risk,06.04.2009,6
41,41,0,Lutra canadensis,0.0,168720101925,Low / moderate risk,12.05.2006,3
43,43,1,Centrocercus urophasianus,0.0,324918516,Moderate / high risk,27.09.2001,25
45,45,0,Falco peregrinus,0.0,181989439245,Low / moderate risk,31.08.2006,8
47,47,1,Choriotis kori,0.0,27160283895,Low / moderate risk,30.04.2003,15
49,49,1,Rhea americana,1.0,189669225079108,Moderate / high risk,30.01.2012,19
51,51,0,Haematopus ater,0.0,38679964783,Low risk,18.09.2003,15
53,53,0,Castor fiber,0.0,206670747,High risk,29.01.1998,1
54,54,1,Hystrix cristata,0.0,192291882972375,Moderate risk,26.11.2012,31
55,55,0,Podargus strigoides,0.0,206670764,High risk,07.06.1995,7
56,56,1,Plegadis falcinellus,0.0,181703187068,Moderate risk,26.06.2006,41
58,58,0,Ardea cinerea,0.0,206670715,High risk,13.09.1991,22
59,59,0,Isoodon obesulus,0.0,189669356346606,High risk,07.06.2012,37
60,60,1,Eolophus roseicapillus,0.0,55902523917,High risk,19.03.2004,15
61,61,0,Cyrtodactylus louisiadensis,0.0,95461418687,High risk,31.03.2005,11
63,63,0,Orcinus orca,0.0,108202450315,Low risk,23.06.2005,5
64,64,0,Cordylus giganteus,0.0,108203096943,Low risk,23.06.2005,5
65,65,0,Macaca mulatta,0.0,108207596093,Low risk,23.06.2005,9
66,66,0,Paradoxurus hermaphroditus,0.0,401722140628,Moderate / high risk,26.10.2007,10
68,68,1,Canis aureus,0.0,206670716,Moderate / high risk,31.03.1999,12
69,69,0,Numida meleagris,0.0,206670745,Moderate / high risk,29.01.1998,1
70,70,1,Milvus migrans,0.0,275505523,Moderate / high risk,30.10.1990,13
71,71,1,Papilio canadensis,0.0,206670727,High risk,28.02.1991,25
72,72,0,Madoqua kirkii,0.0,206670717,Moderate / high risk,14.09.1993,2
73,73,0,Chelodina longicollis,0.0,206670761,Low / moderate risk,10.09.1993,5
74,74,0,Rana sp.,0.0,206670753,Moderate / high risk,12.10.1993,2
75,75,1,Tamandua tetradactyla,0.0,301519260,Moderate risk,23.08.2001,12
76,76,1,Charadrius tricollaris,0.0,189669305873243,Moderate risk,30.01.2012,20
78,78,0,Trachyphonus vaillantii,0.0,898428021820,Moderate risk,17.06.2008,2
