,SRC_UID,EOM,WEIGHTED,COUNTRY,PSU
1871,108392362467,30.11.2012,0.2377,ITALY,Eurozone
1872,369592842106,30.06.2013,0.5629,U.S.A.,US
1873,188703129863464,30.06.2013,0.9916,RUSSIA,World
1874,63446153971,31.01.2012,0.203,INDIA,Emerging Asia (ex-China)
1875,206670694,31.01.2012,0.539,U.S.A.,US
1876,206670693,31.01.2012,0.067,BRAZIL,Latin America
1877,207934051132,31.01.2012,0.7240000000000001,U.S.A.,US
1878,206670715,31.01.2012,0.188,CHINA,China
1879,206670716,31.01.2012,0.35100000000000003,UNITED KINGDOM,UK
1880,206670764,31.08.2012,0.596,RUSSIA,World
1881,1461078666,31.08.2012,0.261,UNITED KINGDOM,UK
1882,437983596250,31.01.2012,0.943,SWITZERLAND,Switzerland
1883,1134069654772,31.01.2012,0.48,U.S.A.,US
1884,269287883541,31.01.2012,1.0,JAPAN,Japan
1885,1521081543045,31.01.2012,0.298,KUWAIT,EMEA
1886,188703129863464,31.08.2019,0.9990000000000001,RUSSIA,World
1887,269297001426,31.08.2019,0.9423,U.S.A.,US
1888,638750702637,31.05.2013,0.9432,RUSSIA,World
1889,206670694,31.05.2013,0.6042,U.S.A.,US
1890,28283084613,31.12.2011,0.539,CHINA,China
1891,28283084613,31.05.2013,0.3996,CHINA,China
1892,413976258580,31.05.2013,0.5596,U.S.A.,US
1893,206670716,31.05.2013,0.3307,UNITED KINGDOM,UK
1894,1489765858,31.08.2019,0.5762,AUSTRALIA,Australia
1895,275505523,31.05.2013,0.3181,UNITED KINGDOM,UK
1896,656760542396,31.05.2013,0.498,U.S.A.,US
1897,206670715,31.05.2013,0.1725,CHINA,China
1898,413976258580,31.08.2019,0.6506,U.S.A.,US
1899,254149308420,30.09.2012,0.183,BRAZIL,Latin America
1900,369592842106,31.08.2019,0.6509999999999999,U.S.A.,US
1901,275505523,30.04.2012,0.285,UNITED KINGDOM,UK
1902,216437580763800,31.12.2019,0.1957,GERMANY,Eurozone
1903,186614022288995,30.04.2012,0.563,CHINA,China
1904,207934051132,30.09.2012,0.595,U.S.A.,US
1905,195667467951412,31.12.2019,0.177,GERMANY,Eurozone
1906,196842445088146,31.12.2019,0.6505,U.S.A.,US
1907,196843241101444,31.12.2019,0.6503,U.S.A.,US
1908,438677176,31.12.2019,0.7479,SWITZERLAND,Switzerland
1909,323418458,31.12.2019,0.1384,FRANCE,Eurozone
1910,40232932742,31.12.2019,0.7506,SWITZERLAND,Switzerland
1911,126094514515,31.12.2019,0.8207,SWITZERLAND,Switzerland
1912,36740368922,31.12.2019,0.7491,SWITZERLAND,Switzerland
1913,186494805556422,31.01.2013,0.162,FRANCE,Eurozone
1914,92221420384,31.01.2013,0.45299999999999996,U.S.A.,US
1915,27160283895,31.12.2019,0.2528,ITALY,Eurozone
1916,369592842106,31.12.2019,0.6505,U.S.A.,US
1917,413976258580,31.10.2011,0.526,U.S.A.,US
1918,613346505712,31.10.2011,0.6559999999999999,AUSTRALIA,Australia
1919,187744333580016,30.11.2011,0.171,FRANCE,Eurozone
1920,438677131,31.10.2011,0.473,U.S.A.,US
1921,28283084613,31.12.2012,0.455,CHINA,China
1922,182009288255,31.12.2012,0.3163,FRANCE,Eurozone
1923,206670723,31.12.2012,0.44299999999999995,U.S.A.,US
