Hteam,Ateam,Month,Odd-1,Odd-N,Odd-2,Target
Southampton,Burnley,12,1.8,3.6,4.5,1.0
Southampton,Burnley,12,1.83,3.25,4.8,1.0
Southampton,Burnley,12,1.85,3.4,5.2,1.0
Southampton,Burnley,12,1.9,3.61,5.2,1.0
Southampton,Burnley,12,1.84,3.43,4.8,1.0
Cardiff,Newcastle,8,3.25,3.1,2.54,1.0
Cardiff,Newcastle,8,3.1,3.1,2.45,1.0
Cardiff,Newcastle,8,2.9,3.2,2.5,1.0
Cardiff,Newcastle,8,3.1,3.0,2.45,1.0
Cardiff,Newcastle,8,3.25,3.1,2.55,1.0
Cardiff,Newcastle,8,3.25,3.21,2.6,1.0
Cardiff,Newcastle,8,3.14,3.07,2.5,1.0
Chelsea,Arsenal,8,1.8,4.0,4.5,2.0
Chelsea,Arsenal,8,1.78,3.8,4.5,2.0
Chelsea,Arsenal,8,1.8,3.8,4.2,2.0
Chelsea,Arsenal,8,1.83,3.75,4.0,2.0
Chelsea,Arsenal,8,1.8,4.0,4.5,2.0
Chelsea,Arsenal,8,1.87,4.02,4.54,2.0
Chelsea,Arsenal,8,1.81,3.85,4.29,2.0
Everton,Southampton,8,1.9,3.5,4.75,2.0
Everton,Southampton,8,1.91,3.3,4.5,2.0
Everton,Southampton,8,2.0,3.25,4.0,2.0
Everton,Southampton,8,1.91,3.4,4.0,2.0
Everton,Southampton,8,1.91,3.5,4.6,2.0
Everton,Southampton,8,2.0,3.63,4.78,2.0
Everton,Southampton,8,1.89,3.44,4.41,2.0
Leicester,Wolves,8,2.04,3.5,3.9,2.0
Leicester,Wolves,8,2.0,3.5,3.8,2.0
Leicester,Wolves,8,2.1,3.3,3.6,2.0
Leicester,Wolves,8,2.05,3.4,3.6,2.0
Leicester,Wolves,8,2.05,3.5,4.0,2.0
Leicester,Wolves,8,2.12,3.61,4.0,2.0
Leicester,Wolves,8,2.05,3.44,3.77,2.0
West Ham,Bournemouth,8,2.1,3.6,3.7,0.0
West Ham,Bournemouth,8,2.1,3.3,3.75,0.0
West Ham,Bournemouth,8,2.05,3.55,3.55,0.0
West Ham,Bournemouth,8,2.05,3.6,3.4,0.0
West Ham,Bournemouth,8,2.1,3.6,3.7,0.0
West Ham,Bournemouth,8,2.15,3.67,3.75,0.0
West Ham,Bournemouth,8,2.08,3.53,3.56,0.0
Brighton,Man United,8,5.5,3.6,1.75,2.0
Brighton,Man United,8,5.5,3.6,1.7,2.0
Brighton,Man United,8,5.1,3.5,1.75,2.0
Brighton,Man United,8,4.8,3.6,1.75,2.0
Brighton,Man United,8,5.5,3.6,1.75,2.0
Brighton,Man United,8,5.52,3.62,1.84,2.0
Brighton,Man United,8,5.19,3.53,1.76,2.0
Burnley,Watford,8,2.45,3.1,3.4,0.0
Burnley,Watford,8,2.4,3.1,3.2,0.0
Burnley,Watford,8,2.4,3.1,3.15,0.0
Burnley,Watford,8,2.38,3.0,3.25,0.0
Burnley,Watford,8,2.4,3.1,3.5,0.0
Burnley,Watford,8,2.5,3.18,3.5,0.0
Burnley,Watford,8,2.39,3.04,3.34,0.0
Arsenal,West Ham,8,1.36,5.5,9.0,2.0
Arsenal,West Ham,8,1.36,5.25,7.75,2.0
Arsenal,West Ham,8,1.4,4.8,7.5,2.0
Arsenal,West Ham,8,1.36,5.0,7.5,2.0
Arsenal,West Ham,8,1.36,5.5,9.0,2.0
Arsenal,West Ham,8,1.37,5.32,8.1,2.0
Bournemouth,Everton,8,2.62,3.6,2.75,1.0
Bournemouth,Everton,8,2.6,3.4,2.7,1.0
Bournemouth,Everton,8,2.55,3.5,2.65,1.0
Bournemouth,Everton,8,2.5,3.6,2.62,1.0
Bournemouth,Everton,8,2.6,3.6,2.75,1.0
Bournemouth,Everton,8,2.69,3.6,2.81,1.0
Bournemouth,Everton,8,2.59,3.49,2.7,1.0
Huddersfield,Cardiff,8,2.37,3.0,3.7,1.0
Huddersfield,Cardiff,8,2.25,3.1,3.5,1.0
Huddersfield,Cardiff,8,2.3,3.0,3.55,1.0
Huddersfield,Cardiff,8,2.3,3.1,3.3,1.0
Huddersfield,Cardiff,8,2.38,3.1,3.6,1.0
Huddersfield,Cardiff,8,2.4,3.18,3.7,1.0
Huddersfield,Cardiff,8,2.32,3.04,3.53,1.0
Southampton,Leicester,8,2.45,3.2,3.25,0.0
Southampton,Leicester,8,2.4,3.2,3.1,0.0
Southampton,Leicester,8,2.4,3.15,3.1,0.0
Southampton,Leicester,8,2.3,3.3,3.1,0.0
Southampton,Leicester,8,2.45,3.25,3.25,0.0
Southampton,Leicester,8,2.52,3.35,3.25,0.0
Southampton,Leicester,8,2.42,3.22,3.12,0.0
Fulham,Burnley,8,2.0,3.4,4.33,2.0
Fulham,Burnley,8,2.0,3.3,4.0,2.0
Fulham,Burnley,8,1.97,3.35,4.1,2.0
Fulham,Burnley,8,2.0,3.25,3.9,2.0
Fulham,Burnley,8,2.0,3.4,4.33,2.0
Fulham,Burnley,8,2.04,3.57,4.5,2.0
Fulham,Burnley,8,1.98,3.36,4.14,2.0
Newcastle,Chelsea,8,5.75,4.0,1.66,0.0
Newcastle,Chelsea,8,5.25,3.8,1.67,0.0
Newcastle,Chelsea,8,5.0,3.75,1.7,0.0
Newcastle,Chelsea,8,5.0,3.75,1.67,0.0
Newcastle,Chelsea,8,5.5,4.0,1.67,0.0
Newcastle,Chelsea,8,5.75,4.17,1.71,0.0
Newcastle,Chelsea,8,5.25,3.9,1.67,0.0
Watford,Crystal Palace,8,2.6,3.25,3.0,2.0
Watford,Crystal Palace,8,2.55,3.1,2.95,2.0
Watford,Crystal Palace,8,2.5,3.2,2.95,2.0
Watford,Crystal Palace,8,2.5,3.3,2.8,2.0
Watford,Crystal Palace,8,2.6,3.3,2.9,2.0
Watford,Crystal Palace,8,2.66,3.36,3.04,2.0
Watford,Crystal Palace,8,2.55,3.22,2.92,2.0
Man United,Tottenham,8,2.62,3.3,2.9,0.0
Man United,Tottenham,8,2.55,3.2,2.9,0.0
Man United,Tottenham,8,2.6,3.25,2.75,0.0
Man United,Tottenham,8,2.5,3.4,2.7,0.0
Man United,Tottenham,8,2.6,3.3,2.9,0.0
Man United,Tottenham,8,2.67,3.4,3.0,0.0
Man United,Tottenham,8,2.56,3.27,2.86,0.0
Brighton,Fulham,1,2.3,3.4,3.4,1.0
Brighton,Fulham,1,2.2,3.3,3.4,1.0
Brighton,Fulham,1,2.2,3.3,3.4,1.0
Brighton,Fulham,1,2.25,3.3,3.2,1.0
Brighton,Fulham,1,2.25,3.4,3.5,1.0
Brighton,Fulham,1,2.3,3.5,3.5,1.0
Brighton,Fulham,1,2.23,3.37,3.33,1.0
Crystal Palace,Southampton,1,2.0,3.5,4.2,0.0
Crystal Palace,Southampton,1,1.95,3.4,4.1,0.0
Crystal Palace,Southampton,1,2.0,3.4,3.8,0.0
Crystal Palace,Southampton,1,1.95,3.4,4.0,0.0
Crystal Palace,Southampton,1,2.0,3.4,4.33,0.0
Crystal Palace,Southampton,1,2.0,3.52,4.5,0.0
Crystal Palace,Southampton,1,1.95,3.42,4.16,0.0
Everton,Huddersfield,1,1.53,4.2,7.5,1.0
Everton,Huddersfield,1,1.5,4.0,7.5,1.0
Everton,Huddersfield,1,1.6,4.0,5.5,1.0
Everton,Huddersfield,1,1.5,3.8,7.5,1.0
Everton,Huddersfield,1,1.53,4.2,7.5,1.0
Everton,Huddersfield,1,1.6,4.33,8.06,1.0
Everton,Huddersfield,1,1.51,4.1,7.26,1.0
West Ham,Wolves,1,2.6,3.4,2.87,0.0
West Ham,Wolves,1,2.5,3.3,2.85,0.0
West Ham,Wolves,1,2.5,3.3,2.85,0.0
West Ham,Wolves,1,2.4,3.5,2.8,0.0
West Ham,Wolves,1,2.5,3.5,2.9,0.0
West Ham,Wolves,1,2.6,3.5,3.0,0.0
West Ham,Wolves,1,2.51,3.37,2.86,0.0
Burnley,Man United,2,6.0,3.75,1.7,0.0
Burnley,Man United,2,6.0,3.6,1.65,0.0
Burnley,Man United,2,5.0,3.75,1.7,0.0
Burnley,Man United,2,5.5,3.7,1.65,0.0
Burnley,Man United,2,6.25,3.8,1.65,0.0
Burnley,Man United,2,6.25,3.9,1.7,0.0
Burnley,Man United,2,5.73,3.72,1.67,0.0
Cardiff,Arsenal,2,6.0,4.0,1.57,0.0
Cardiff,Arsenal,2,5.4,3.8,1.65,0.0
Cardiff,Arsenal,2,6.0,4.22,1.56,0.0
Watford,Tottenham,2,5.5,4.2,1.64,2.0
Watford,Tottenham,2,5.3,3.9,1.65,2.0
Watford,Tottenham,2,5.0,4.2,1.62,2.0
Watford,Tottenham,2,5.75,4.2,1.62,2.0
Watford,Tottenham,2,5.38,4.13,1.62,2.0
Bournemouth,Leicester,9,2.45,3.5,3.0,2.0
Bournemouth,Leicester,9,2.4,3.4,2.95,2.0
Bournemouth,Leicester,9,2.35,3.4,3.0,2.0
Bournemouth,Leicester,9,2.38,3.4,2.9,2.0
Bournemouth,Leicester,9,2.45,3.5,3.0,2.0
Bournemouth,Leicester,9,2.51,3.5,3.13,2.0
Bournemouth,Leicester,9,2.42,3.41,2.98,2.0
Huddersfield,Crystal Palace,9,3.3,3.1,2.5,0.0
Huddersfield,Crystal Palace,9,3.1,3.1,2.45,0.0
Huddersfield,Crystal Palace,9,3.2,3.1,2.4,0.0
Huddersfield,Crystal Palace,9,3.1,3.0,2.45,0.0
Huddersfield,Crystal Palace,9,3.3,3.13,2.5,0.0
Huddersfield,Crystal Palace,9,3.3,3.27,2.55,0.0
Huddersfield,Crystal Palace,9,3.19,3.11,2.45,0.0
Newcastle,Arsenal,9,4.2,3.8,1.9,0.0
Newcastle,Arsenal,9,4.0,3.6,1.91,0.0
Newcastle,Arsenal,9,4.0,3.6,1.9,0.0
Newcastle,Arsenal,9,3.75,3.7,1.91,0.0
Newcastle,Arsenal,9,4.1,3.75,1.95,0.0
Newcastle,Arsenal,9,4.2,3.9,1.97,0.0
Newcastle,Arsenal,9,4.01,3.72,1.91,0.0
Tottenham,Liverpool,9,3.0,3.6,2.4,0.0
Tottenham,Liverpool,9,2.95,3.6,2.3,0.0
Tottenham,Liverpool,9,2.95,3.6,2.3,0.0
Tottenham,Liverpool,9,2.88,3.5,2.3,0.0
Tottenham,Liverpool,9,3.1,3.7,2.3,0.0
Tottenham,Liverpool,9,3.1,3.74,2.4,0.0
Tottenham,Liverpool,9,2.97,3.62,2.33,0.0
Watford,Man United,9,4.33,3.6,1.95,0.0
Watford,Man United,9,4.2,3.6,1.87,0.0
Watford,Man United,9,4.15,3.55,1.9,0.0
Watford,Man United,9,4.0,3.4,1.91,0.0
Watford,Man United,9,4.4,3.6,1.93,0.0
Watford,Man United,9,4.5,3.65,2.0,0.0
Watford,Man United,9,4.16,3.55,1.93,0.0
Everton,West Ham,9,2.0,3.75,3.9,0.0
Everton,West Ham,9,2.0,3.6,3.7,0.0
Everton,West Ham,9,2.0,3.55,3.6,0.0
Everton,West Ham,9,2.05,3.6,3.4,0.0
Everton,West Ham,9,2.05,3.6,3.75,0.0
Everton,West Ham,9,2.12,3.75,4.1,0.0
Everton,West Ham,9,2.03,3.58,3.68,0.0
Wolves,Burnley,9,1.75,3.6,5.75,2.0
Wolves,Burnley,9,1.7,3.6,5.5,2.0
Wolves,Burnley,9,1.8,3.5,4.7,2.0
Wolves,Burnley,9,1.75,3.5,4.8,2.0
Wolves,Burnley,9,1.75,3.6,5.75,2.0
Wolves,Burnley,9,1.8,3.72,6.0,2.0
Wolves,Burnley,9,1.74,3.55,5.42,2.0
Southampton,Brighton,9,2.1,3.4,3.9,1.0
Southampton,Brighton,9,2.1,3.3,3.75,1.0
Southampton,Brighton,9,2.1,3.25,3.75,1.0
Southampton,Brighton,9,2.05,3.2,3.75,1.0
Southampton,Brighton,9,2.15,3.25,3.9,1.0
Southampton,Brighton,9,2.22,3.42,4.0,1.0
Southampton,Brighton,9,2.12,3.28,3.75,1.0
Brighton,Tottenham,9,5.0,4.0,1.75,0.0
Brighton,Tottenham,9,4.75,3.7,1.75,0.0
Brighton,Tottenham,9,4.8,3.9,1.7,0.0
Brighton,Tottenham,9,4.4,3.8,1.75,0.0
Brighton,Tottenham,9,5.0,3.9,1.75,0.0
Brighton,Tottenham,9,5.0,4.0,1.8,0.0
Brighton,Tottenham,9,4.76,3.81,1.75,0.0
Burnley,Bournemouth,9,3.0,3.4,2.5,2.0
Burnley,Bournemouth,9,2.8,3.25,2.6,2.0
Burnley,Bournemouth,9,2.8,3.3,2.55,2.0
Burnley,Bournemouth,9,2.8,3.3,2.5,2.0
Burnley,Bournemouth,9,2.9,3.4,2.6,2.0
Burnley,Bournemouth,9,3.0,3.42,2.62,2.0
Burnley,Bournemouth,9,2.87,3.32,2.55,2.0
Crystal Palace,Newcastle,9,2.14,3.4,3.75,1.0
Crystal Palace,Newcastle,9,2.15,3.3,3.6,1.0
Crystal Palace,Newcastle,9,2.0,3.4,3.8,1.0
Crystal Palace,Newcastle,9,2.1,3.3,3.5,1.0
Crystal Palace,Newcastle,9,2.15,3.4,3.75,1.0
Crystal Palace,Newcastle,9,2.24,3.4,3.8,1.0
Crystal Palace,Newcastle,9,2.14,3.32,3.68,1.0
Fulham,Watford,9,2.54,3.5,2.9,1.0
Fulham,Watford,9,2.35,3.4,3.0,1.0
Fulham,Watford,9,2.6,3.3,2.7,1.0
Fulham,Watford,9,2.5,3.4,2.75,1.0
Fulham,Watford,9,2.45,3.5,3.0,1.0
Fulham,Watford,9,2.6,3.55,3.0,1.0
Fulham,Watford,9,2.46,3.43,2.9,1.0
Leicester,Huddersfield,9,1.61,4.0,6.5,2.0
Leicester,Huddersfield,9,1.57,3.9,6.25,2.0
Leicester,Huddersfield,9,1.67,3.9,5.0,2.0
Leicester,Huddersfield,9,1.6,3.75,6.0,2.0
Leicester,Huddersfield,9,1.62,3.8,7.0,2.0
Leicester,Huddersfield,9,1.67,4.0,7.0,2.0
Leicester,Huddersfield,9,1.61,3.82,6.35,2.0
Man United,Wolves,9,1.57,4.33,6.5,1.0
Man United,Wolves,9,1.55,4.1,6.25,1.0
Man United,Wolves,9,1.55,4.0,6.2,1.0
Man United,Wolves,9,1.57,4.2,5.5,1.0
Man United,Wolves,9,1.6,4.1,6.5,1.0
Man United,Wolves,9,1.6,4.33,6.6,1.0
Man United,Wolves,9,1.57,4.12,6.09,1.0
Arsenal,Everton,9,1.44,5.0,7.5,2.0
Arsenal,Everton,9,1.48,4.6,6.5,2.0
Arsenal,Everton,9,1.45,4.5,7.0,2.0
Arsenal,Everton,9,1.47,4.75,6.0,2.0
Arsenal,Everton,9,1.45,5.0,7.0,2.0
Arsenal,Everton,9,1.49,5.05,7.5,2.0
Arsenal,Everton,9,1.46,4.83,6.54,2.0
West Ham,Chelsea,9,5.0,4.2,1.6,1.0
Arsenal,Watford,9,1.44,5.1,7.0,2.0
Arsenal,Watford,9,1.45,4.75,6.5,2.0
Arsenal,Watford,9,1.45,4.5,7.0,2.0
Arsenal,Watford,9,1.44,5.0,6.0,2.0
Arsenal,Watford,9,1.5,4.8,6.5,2.0
Arsenal,Watford,9,1.51,5.1,7.5,2.0
Arsenal,Watford,9,1.47,4.77,6.41,2.0
Chelsea,Liverpool,9,2.8,3.6,2.54,1.0
Chelsea,Liverpool,9,2.85,3.5,2.4,1.0
Chelsea,Liverpool,9,2.85,3.3,2.5,1.0
Chelsea,Liverpool,9,2.8,3.5,2.45,1.0
Chelsea,Liverpool,9,2.8,3.6,2.55,1.0
Chelsea,Liverpool,9,2.92,3.65,2.62,1.0
Chelsea,Liverpool,9,2.81,3.52,2.49,1.0
Everton,Fulham,9,1.75,4.2,4.75,2.0
Everton,Fulham,9,1.75,4.0,4.33,2.0
Everton,Fulham,9,1.8,3.7,4.4,2.0
Everton,Fulham,9,1.75,4.0,4.33,2.0
Everton,Fulham,9,1.75,4.1,4.75,2.0
Everton,Fulham,9,1.8,4.2,4.82,2.0
Everton,Fulham,9,1.74,3.99,4.58,2.0
Newcastle,Leicester,9,2.6,3.3,3.0,0.0
Newcastle,Leicester,9,2.55,3.25,2.85,0.0
Newcastle,Leicester,9,2.6,3.3,2.75,0.0
Newcastle,Leicester,9,2.55,3.2,2.9,0.0
Newcastle,Leicester,9,2.6,3.25,3.0,0.0
Newcastle,Leicester,9,2.65,3.3,3.05,0.0
Newcastle,Leicester,9,2.56,3.22,2.93,0.0
West Ham,Man United,9,4.5,3.8,1.85,2.0
West Ham,Man United,9,4.1,3.75,1.85,2.0
West Ham,Man United,9,4.3,3.6,1.85,2.0
West Ham,Man United,9,4.2,3.7,1.85,2.0
West Ham,Man United,9,4.6,3.8,1.83,2.0
West Ham,Man United,9,4.6,3.87,1.89,2.0
West Ham,Man United,9,4.41,3.71,1.84,2.0
Wolves,Southampton,9,1.8,3.6,5.25,2.0
Wolves,Southampton,9,1.8,3.5,4.75,2.0
Wolves,Southampton,9,1.9,3.5,4.1,2.0
Wolves,Southampton,9,1.85,3.5,4.5,2.0
Wolves,Southampton,9,1.85,3.5,5.0,2.0
Wolves,Southampton,9,1.9,3.75,5.25,2.0
Wolves,Southampton,9,1.82,3.54,4.79,2.0
Cardiff,Burnley,9,2.62,3.0,3.2,0.0
Cardiff,Burnley,9,2.55,3.0,3.1,0.0
Cardiff,Burnley,9,2.55,3.05,3.05,0.0
Cardiff,Burnley,9,2.55,3.1,3.0,0.0
Cardiff,Burnley,9,2.6,3.1,3.13,0.0
Cardiff,Burnley,9,2.64,3.15,3.2,0.0
Cardiff,Burnley,9,2.56,3.06,3.09,0.0
Bournemouth,Crystal Palace,1,2.25,3.5,3.4,2.0
Bournemouth,Crystal Palace,1,2.25,3.4,3.2,2.0
Bournemouth,Crystal Palace,1,2.2,3.45,3.2,2.0
Bournemouth,Crystal Palace,1,2.25,3.4,3.2,2.0
Bournemouth,Crystal Palace,1,2.25,3.5,3.3,2.0
Bournemouth,Crystal Palace,1,2.37,3.55,3.4,2.0
Bournemouth,Crystal Palace,1,2.25,3.43,3.24,2.0
Brighton,West Ham,5,2.7,3.3,2.87,2.0
Brighton,West Ham,5,2.6,3.25,2.8,2.0
Brighton,West Ham,5,2.65,3.3,2.65,2.0
Brighton,West Ham,5,2.62,3.2,2.8,2.0
Brighton,West Ham,5,2.7,3.3,2.88,2.0
Brighton,West Ham,5,2.75,3.35,2.9,2.0
Brighton,West Ham,5,2.67,3.26,2.8,2.0
Burnley,Huddersfield,6,2.14,3.1,4.2,1.0
Burnley,Huddersfield,6,2.05,3.1,4.1,1.0
Burnley,Huddersfield,6,2.1,3.05,4.05,1.0
Burnley,Huddersfield,6,2.15,3.0,4.0,1.0
Burnley,Huddersfield,6,2.15,3.1,4.2,1.0
Burnley,Huddersfield,6,2.18,3.2,4.35,1.0
Burnley,Huddersfield,6,2.12,3.06,4.11,1.0
Crystal Palace,Wolves,6,3.0,3.2,2.62,0.0
Crystal Palace,Wolves,6,2.8,3.2,2.65,0.0
Crystal Palace,Wolves,6,2.9,3.1,2.6,0.0
Crystal Palace,Wolves,6,2.9,3.2,2.55,0.0
Crystal Palace,Wolves,6,3.0,3.25,2.6,0.0
Crystal Palace,Wolves,6,3.03,3.25,2.75,0.0
Crystal Palace,Wolves,6,2.92,3.18,2.6,0.0
Leicester,Everton,6,2.2,3.4,3.6,0.0
Leicester,Everton,6,2.2,3.4,3.3,0.0
Leicester,Everton,6,2.15,3.45,3.4,0.0
Leicester,Everton,6,2.2,3.4,3.3,0.0
Leicester,Everton,6,2.2,3.4,3.6,0.0
Leicester,Everton,6,2.28,3.55,3.6,0.0
Leicester,Everton,6,2.19,3.4,3.44,0.0
Man United,Newcastle,6,1.44,4.5,9.0,2.0
Man United,Newcastle,6,1.44,4.5,7.5,2.0
Man United,Newcastle,6,1.5,4.3,6.5,2.0
Man United,Newcastle,6,1.47,4.4,7.0,2.0
Man United,Newcastle,6,1.45,4.5,8.5,2.0
Man United,Newcastle,6,1.5,4.6,9.0,2.0
Man United,Newcastle,6,1.45,4.44,7.86,2.0
Watford,Bournemouth,6,2.14,3.6,3.5,0.0
Watford,Bournemouth,6,2.1,3.6,3.4,0.0
Watford,Bournemouth,6,2.1,3.55,3.4,0.0
Watford,Bournemouth,6,2.15,3.5,3.3,0.0
Watford,Bournemouth,6,2.15,3.6,3.5,0.0
Watford,Bournemouth,6,2.16,3.7,3.68,0.0
Watford,Bournemouth,6,2.13,3.55,3.45,0.0
Fulham,Arsenal,7,4.4,4.2,1.7,0.0
Liverpool,Man City,7,2.54,3.6,2.8,1.0
Liverpool,Man City,7,2.5,3.6,2.7,1.0
Liverpool,Man City,7,2.5,3.3,2.85,1.0
Liverpool,Man City,7,2.5,3.5,2.75,1.0
Liverpool,Man City,7,2.55,3.6,2.8,1.0
Liverpool,Man City,7,2.63,3.7,2.88,1.0
Liverpool,Man City,7,2.52,3.54,2.77,1.0
Southampton,Chelsea,7,6.0,4.1,1.61,0.0
Southampton,Chelsea,7,6.0,3.9,1.6,0.0
Southampton,Chelsea,7,5.3,3.9,1.65,0.0
Southampton,Chelsea,7,5.5,4.0,1.62,0.0
Southampton,Chelsea,7,6.0,4.2,1.6,0.0
Southampton,Chelsea,7,5.75,4.07,1.61,0.0
Bournemouth,Southampton,10,2.04,3.7,3.75,1.0
Bournemouth,Southampton,10,2.0,3.5,3.75,1.0
Bournemouth,Southampton,10,2.0,3.55,3.6,1.0
Bournemouth,Southampton,10,2.0,3.6,3.6,1.0
Bournemouth,Southampton,10,2.0,3.7,3.9,1.0
Bournemouth,Southampton,10,2.1,3.75,3.9,1.0
Bournemouth,Southampton,10,2.03,3.58,3.69,1.0
Cardiff,Fulham,10,2.5,3.5,2.95,2.0
Cardiff,Fulham,10,2.45,3.4,2.9,2.0
Cardiff,Fulham,10,2.4,3.45,2.85,2.0
Cardiff,Fulham,10,2.4,3.4,2.88,2.0
Cardiff,Fulham,10,2.5,3.5,2.9,2.0
Cardiff,Fulham,10,2.55,3.53,3.1,2.0
Cardiff,Fulham,10,2.46,3.42,2.91,2.0
Chelsea,Man United,10,1.75,3.8,5.25,1.0
Chelsea,Man United,10,1.72,3.7,5.0,1.0
Chelsea,Man United,10,1.7,3.85,4.8,1.0
Chelsea,Man United,10,1.73,3.8,4.6,1.0
Chelsea,Man United,10,1.73,3.9,5.25,1.0
Chelsea,Man United,10,1.77,4.15,5.26,1.0
Chelsea,Man United,10,1.73,3.86,4.94,1.0
Newcastle,Brighton,10,2.2,3.25,3.8,0.0
Newcastle,Brighton,10,2.2,3.2,3.5,0.0
Newcastle,Brighton,10,2.15,3.1,3.75,0.0
Newcastle,Brighton,10,2.15,3.2,3.7,0.0
Newcastle,Brighton,10,2.2,3.2,3.9,0.0
Newcastle,Brighton,10,2.27,3.25,3.9,0.0
Newcastle,Brighton,10,2.19,3.16,3.71,0.0
West Ham,Tottenham,10,4.1,3.9,1.9,0.0
West Ham,Tottenham,10,4.2,3.7,1.85,0.0
West Ham,Tottenham,10,3.9,3.7,1.9,0.0
West Ham,Tottenham,10,3.8,3.8,1.91,0.0
West Ham,Tottenham,10,4.1,3.9,1.91,0.0
West Ham,Tottenham,10,4.3,3.95,1.95,0.0
West Ham,Tottenham,10,4.02,3.8,1.89,0.0
Wolves,Watford,10,1.75,3.75,5.25,0.0
Wolves,Watford,10,1.72,3.6,5.25,0.0
Wolves,Watford,10,1.7,3.65,5.2,0.0
Wolves,Watford,10,1.73,3.6,5.0,0.0
Wolves,Watford,10,1.75,3.75,5.4,0.0
Wolves,Watford,10,1.8,3.75,5.5,0.0
Wolves,Watford,10,1.74,3.63,5.18,0.0
Everton,Crystal Palace,10,1.85,3.6,4.75,2.0
Everton,Crystal Palace,10,1.85,3.5,4.5,2.0
Everton,Crystal Palace,10,1.83,3.55,4.45,2.0
Everton,Crystal Palace,10,1.88,3.5,4.33,2.0
Everton,Crystal Palace,10,1.85,3.6,4.75,2.0
Everton,Crystal Palace,10,1.93,3.7,4.81,2.0
Everton,Crystal Palace,10,1.86,3.56,4.49,2.0
Arsenal,Leicester,10,1.53,4.5,6.5,2.0
Arsenal,Leicester,10,1.5,4.33,6.5,2.0
Arsenal,Leicester,10,1.53,4.5,5.6,2.0
Arsenal,Leicester,10,1.53,4.33,5.8,2.0
Arsenal,Leicester,10,1.53,4.6,6.25,2.0
